semester,duration,sgpa,cgpa,degree
1,DEC 2006,6.29,6.29,B.TECH
2,MAY 2007,7.0,6.62,B.TECH
3,DEC 2007,7.12,6.78,B.TECH
4,MAY 2008,7.42,6.93,B.TECH
5,DEC 2008,7.48,7.05,B.TECH
6,MAY 2009,6.96,7.03,B.TECH
7,DEC 2009,7.5,7.08,B.TECH
