name,company,duration,programming_languages,frameworks,databases,other_technologies,knowledge_area
Computer Graphics mini-project,NA,4th sem,,,,,
Database Systems mini-project,NA,5th sem,,,,,
MINREL,NA,5th sem,,,,,
Online Counselling,NA,6th sem,,,,,
