semester,duration,sgpa,cgpa,degree
1,DEC 2006,8.36,8.36,B.TECH
2,MAY 2007,8.33,8.35,B.TECH
3,DEC 2007,7.61,8.12,B.TECH
4,MAY 2008,8.05,8.1,B.TECH
5,DEC 2008,8.0,8.08,B.TECH
6,MAY 2009,7.08,7.92,B.TECH
