semester,duration,sgpa,cgpa,degree
1,DEC 2006,5.71,5.71,B.TECH
2,MAY 2007,7.33,6.46,B.TECH
3,DEC 2007,6.68,6.53,B.TECH
4,MAY 2008,6.71,6.57,B.TECH
5,DEC 2008,7.96,6.87,B.TECH
6,MAY 2009,6.43,6.8,B.TECH
7,DEC 2009,6.69,6.78,B.TECH
