name,company,duration,programming_languages,frameworks,databases,other_technologies,knowledge_area
Graphics Animation Package,NITK Surathkal,4th semester,C,,,,
Database System for Audio Video Store Management,NITK Surathkal,5th semester,VB6,,Oracle,,
Mail Server Application,NITK Surathkal,6th semester,PHP,,MySQL,,
Industrial Training,BSNL Guwahati,May-June 2008,,,,,
Site Specific Browser for cricinfo.com,NITK Surathkal,Ongoing,Adobe Flex 3,,,,
