name,company,duration,programming_languages,frameworks,databases,other_technologies,knowledge_area
Internship under the STG Lab services team at IBM,IBM,May-June 2009,,,,,capacity planning;server consolidation
"Summer project at National Institute of Advance Sciences, Bangalore","National Institute of Advance Sciences, Bangalore",May-June 2008,,,,,analysis of Vectors;Matrices;representation
Math Editor,"National Institute of Advance Sciences, Bangalore",May-June 2008,,,,,MathML;Unfolding Equations;Variable Declaration reference
Online Examination System,NA,NA,HTML;PHP,,MySQL,,web development
