semester,duration,sgpa,cgpa,degree
1,DEC 2006,8.64,8.64,B.TECH
2,MAY 2007,8.5,8.58,B.TECH
3,DEC 2007,7.74,8.32,B.TECH
4,MAY 2008,7.46,8.11,B.TECH
5,DEC 2008,7.96,8.08,B.TECH
6,MAY 2009,7.2,7.93,B.TECH
