semester,duration,sgpa,cgpa,degree
1,DEC 2006,5.0,5.0,B.TECH
2,MAY 2007,5.58,5.27,B.TECH
3,DEC 2007,5.48,5.34,B.TECH
4,MAY 2008,6.71,5.66,B.TECH
5,DEC 2008,6.63,5.87,B.TECH
6,MAY 2009,6.88,6.03,B.TECH
7,DEC 2009,6.75,6.11,B.TECH
