semester,duration,sgpa,cgpa,degree
1,DEC 2006,9.64,9.64,B.TECH
2,MAY 2007,9.0,9.35,B.TECH
3,DEC 2007,8.91,9.21,B.TECH
4,MAY 2008,9.08,9.18,B.TECH
5,DEC 2008,8.84,9.11,B.TECH
6,MAY 2009,9.28,9.14,B.TECH
