semester,duration,sgpa,cgpa,degree
1,DEC 2006,8.36,8.36,B.TECH
2,MAY 2007,8.83,8.58,B.TECH
3,DEC 2007,7.61,8.28,B.TECH
4,MAY 2008,7.92,8.19,B.TECH
5,DEC 2008,7.12,7.98,B.TECH
6,MAY 2009,7.04,7.82,B.TECH
