semester,duration,sgpa,cgpa,degree
1,DEC 2006,7.71,7.71,B.TECH
2,MAY 2007,8.33,8.0,B.TECH
3,DEC 2007,7.61,7.88,B.TECH
4,MAY 2008,6.04,7.43,B.TECH
5,DEC 2008,7.4,7.43,B.TECH
6,MAY 2009,7.6,7.46,B.TECH
