semester,duration,sgpa,cgpa,degree
1,DEC 2006,8.5,8.5,B.TECH
2,MAY 2007,8.0,8.27,B.TECH
3,DEC 2007,7.74,8.11,B.TECH
4,MAY 2008,7.83,8.04,B.TECH
5,DEC 2008,8.0,8.03,B.TECH
6,MAY 2009,7.36,7.92,B.TECH
